fam_ID__	seq_ct	present	below	equal	above	glyma	phavu	vigan	vigra	vigun	cajca	medtr	cicar	tripr	lotja	lupan	aradu	araip	arahy
L_9HKXNS	24	13	5	8	1	4	2	2	2	2	2	2	1	1	0	2	1	1	2	
L_9HNZFJ	25	14	8	4	2	2	1	1	1	1	2	1	1	1	1	3	2	2	6	
L_9HPFCK	29	10	8	1	5	0	3	1	0	1	0	3	1	2	1	0	4	4	9	
L_9HRMDR	24	13	9	2	3	1	2	1	1	1	1	6	1	3	1	3	1	0	2	
L_9HRV64	24	11	6	5	3	4	2	1	0	2	2	2	2	1	3	4	1	0	0	
L_9HSXTC	25	13	5	7	2	3	2	2	2	2	4	0	1	2	1	2	1	1	2	
L_9HTYQW	26	11	6	4	4	4	1	2	2	1	2	1	0	2	0	0	3	3	5	
L_9HV9M6	24	14	10	2	2	2	1	1	1	1	1	1	1	1	1	1	2	3	7	
L_9HVNG8	24	14	6	7	1	4	2	2	2	2	2	1	1	1	1	2	1	1	2	
L_9HY3H3	24	13	10	1	3	2	1	1	1	1	1	1	1	1	1	0	3	3	7	
L_9HZ77R	26	14	3	10	1	2	2	2	2	2	2	2	2	1	1	1	3	2	2	
L_9J1254	24	10	4	7	3	3	2	2	0	2	2	2	2	2	3	4	0	0	0	
L_9J1ZJ9	24	13	6	6	2	4	2	2	2	2	2	1	1	1	3	2	0	1	1	
L_9J6WVW	25	13	7	5	2	6	2	2	1	2	1	2	2	1	1	3	1	0	1	
L_9J7464	25	14	8	3	3	1	1	1	1	1	3	1	1	1	2	4	2	2	4	
L_9JBSK8	25	11	7	4	3	4	2	1	1	1	1	2	2	2	4	5	0	0	0	
L_9JCQ6T	25	13	7	3	4	3	1	0	1	1	3	2	1	3	2	4	1	1	2	
L_9JG731	28	11	5	3	6	3	3	1	0	3	3	4	2	4	0	0	1	2	2	
L_9JJ462	24	13	7	3	4	3	1	2	1	1	2	1	1	3	3	0	1	2	3	
L_9JMBQJ	25	7	8	4	2	0	0	0	0	2	0	0	0	2	2	1	4	2	12	
L_9JNY22	24	12	6	6	2	3	1	1	1	1	2	2	2	2	2	5	0	0	2	
L_9JSLWD	25	14	8	3	3	2	1	1	1	1	1	1	1	1	4	2	3	2	4	
L_9JTQW6	25	13	5	6	3	3	2	1	1	2	2	2	2	2	3	3	1	0	1	
L_9JV60Y	26	14	6	5	3	2	1	2	1	2	2	3	1	4	2	1	1	1	3	
L_9JV8PF	23	13	7	4	3	2	1	1	1	1	1	3	3	3	2	2	1	0	2	
L_9JWH19	27	3	12	0	2	0	0	0	0	0	0	0	0	0	0	0	1	13	13	
L_9JWP9Z	22	13	10	1	3	4	1	1	1	1	1	3	1	4	1	1	0	1	2	
L_9JY816	26	11	6	4	4	3	2	1	1	3	0	2	0	2	5	0	1	2	4	
L_9JYK96	20	5	11	0	3	1	0	0	0	0	4	0	0	0	1	0	5	9	0	
L_9JYTM3	24	14	6	7	1	4	2	2	2	2	1	2	1	2	1	1	1	1	2	
L_9JZFLW	25	8	9	2	3	4	0	0	0	9	0	5	0	1	2	0	1	1	2	
L_9K01B1	28	12	11	0	3	1	1	1	1	1	0	1	1	0	1	1	5	4	10	
L_9K18YP	24	13	7	4	3	2	1	1	0	1	1	3	1	2	1	3	2	2	4	
L_9K218V	28	6	8	1	5	0	0	0	0	0	2	8	0	7	0	0	3	3	5	
L_9K406Q	27	9	7	3	4	5	4	2	0	6	4	2	0	1	0	0	0	1	2	
L_9K4Q1X	23	4	10	1	3	0	0	0	0	0	2	0	0	0	3	0	13	0	5	
L_9K9SH9	24	4	11	0	3	0	0	0	0	0	0	0	0	1	0	0	3	6	14	
L_9KP96L	28	5	9	0	5	0	5	0	0	3	0	0	0	0	0	0	5	5	10	
L_9KPCC3	28	6	9	0	5	4	6	3	0	9	1	0	0	0	5	0	0	0	0	
L_9KXZK2	23	14	7	6	1	4	1	1	1	1	2	2	2	2	1	2	1	1	2	
L_9L0T2J	28	3	12	0	2	0	0	0	0	0	0	24	1	3	0	0	0	0	0	
L_9L13SM	28	11	6	4	4	6	2	1	2	3	2	4	1	4	0	1	0	0	2	
L_9L76FD	23	14	8	3	3	2	1	1	3	1	1	2	3	2	1	3	1	1	1	
L_9L7R9Z	28	4	11	0	3	0	0	0	1	0	0	0	0	0	0	0	5	15	7	
L_9L83YQ	27	5	9	1	4	0	0	0	0	0	0	9	6	5	2	5	0	0	0	
L_9LCB9Z	23	13	8	3	3	3	1	3	1	1	1	1	1	1	0	2	2	2	4	
L_9LCN6Y	28	2	12	0	2	0	0	0	0	0	0	0	0	0	0	0	13	15	0	
L_9LDQTT	23	14	9	3	2	2	1	1	1	1	1	1	1	1	2	3	2	1	5	
L_9LF9CT	23	14	7	6	1	2	1	1	1	1	1	2	1	1	2	2	2	2	4	
L_9LFMBS	26	10	8	1	5	4	0	0	1	1	3	7	3	3	2	0	0	1	1	
L_9LGTHY	23	14	8	4	2	2	1	1	1	1	1	2	2	3	1	1	1	2	4	
L_9LJD81	23	14	6	7	1	1	2	2	2	2	1	1	1	1	1	2	2	2	3	
L_9LJP9B	25	14	6	7	1	5	2	2	2	1	2	1	1	1	2	2	1	1	2	
L_9LK6F4	23	12	5	8	1	4	2	0	2	2	2	2	2	2	1	2	1	0	1	
L_9LL93V	24	12	4	9	1	4	2	2	2	2	2	2	1	2	2	2	0	1	0	
L_9LLJLW	28	4	11	0	3	15	0	0	0	0	5	0	0	1	7	0	0	0	0	
L_9LMQ37	23	13	7	5	2	4	2	2	1	2	2	1	0	1	1	3	1	1	2	
L_9LMS6Z	23	14	5	9	0	2	2	2	2	1	2	2	1	2	1	2	1	1	2	
L_9LNRJ3	23	14	8	4	2	2	2	1	1	2	1	2	1	1	1	3	1	1	4	
L_9LPFZT	24	14	6	7	1	4	2	2	2	2	1	2	1	2	1	1	1	1	2	
L_9LPJ0Z	27	14	5	7	2	3	2	1	2	2	2	1	2	5	1	2	1	1	2	
L_9LQD2C	23	12	6	6	2	4	2	0	2	2	3	1	2	1	0	2	1	1	2	
L_9LTWH8	23	14	7	5	2	3	1	1	1	1	3	2	2	2	1	2	1	1	2	
L_9LW1SF	25	14	5	7	2	3	2	2	2	2	2	1	1	1	2	3	1	1	2	
L_9LXJ4Q	23	14	6	7	1	3	2	2	2	2	2	1	1	1	2	1	1	1	2	
L_9M3V6K	25	11	6	3	5	3	3	0	0	3	3	4	2	2	2	1	1	1	0	
L_9M713M	27	9	12	1	1	18	1	0	2	1	0	1	0	1	0	1	1	0	1	
L_9M7ZQD	28	12	7	2	5	5	1	3	0	4	2	3	1	2	4	1	0	1	1	
L_9M8NRR	23	13	7	5	2	2	1	1	1	1	1	3	2	2	0	1	2	2	4	
L_9M8NWD	24	13	6	6	2	3	2	1	0	2	2	1	1	1	1	2	2	2	4	
L_9M8SJW	26	12	9	2	3	2	1	1	1	1	1	5	5	1	0	2	5	0	1	
L_9MFCYV	23	14	9	3	2	2	1	1	1	1	1	1	1	1	1	2	2	4	4	
L_9MJTSQ	27	12	4	7	3	4	2	2	2	2	2	1	0	0	1	3	2	2	4	
L_9MLMPK	23	13	7	6	1	2	2	0	2	1	1	2	2	5	1	1	1	1	2	
L_9MMR9N	23	14	6	7	1	3	2	2	2	2	2	1	1	1	1	2	1	1	2	
L_9MPFRB	27	14	5	7	2	2	1	1	1	1	1	2	2	2	2	4	2	2	4	
L_9MPKCP	25	14	6	5	3	3	2	2	2	2	1	3	1	3	1	1	1	1	2	
L_9MPKQ2	25	14	5	8	1	4	2	2	2	2	2	1	1	1	2	2	1	1	2	
L_9MRTDS	25	13	5	7	2	4	1	3	2	2	2	2	2	0	1	2	1	1	2	
L_9MT0YN	23	13	6	7	1	4	2	2	1	2	1	2	1	2	2	1	2	1	0	
L_9MTJ25	23	14	7	5	2	2	1	1	1	1	1	3	2	2	2	3	1	1	2	
L_9MXFZL	24	14	7	5	2	4	1	1	1	1	2	2	2	2	1	3	1	1	2	
L_9MYM4G	24	13	6	6	2	4	1	2	2	2	2	2	1	1	0	3	1	1	2	
L_9MYZ8H	26	14	6	6	2	2	1	1	1	1	1	2	2	2	2	4	2	1	4	
L_9N0J0P	23	11	4	9	1	4	2	1	2	2	2	2	2	2	2	2	0	0	0	
L_9N2C2S	26	12	4	8	2	5	2	2	2	2	2	2	1	2	2	3	0	0	1	
L_9N3YXZ	23	10	7	5	2	6	1	0	2	2	1	2	2	2	1	4	0	0	0	
L_9N4DKM	24	12	5	7	2	4	2	2	2	2	2	0	1	0	1	1	2	2	3	
L_9NC2FC	23	11	4	9	1	4	2	2	1	2	2	2	2	2	2	2	0	0	0	
L_9NCT06	23	14	9	4	1	2	1	1	1	1	1	6	1	1	1	2	2	1	2	
L_9NDXCZ	23	13	7	5	2	3	1	1	0	1	1	2	2	2	1	1	2	2	4	
L_9NF74Y	23	14	8	4	2	3	1	1	1	1	2	1	1	1	1	2	2	2	4	
L_9NKTD6	24	13	6	6	2	2	2	1	2	1	1	1	1	0	3	2	2	2	4	
L_9NN1HM	23	14	9	2	3	1	1	1	1	1	1	3	4	1	1	1	2	2	3	
L_9NQ5BD	26	14	7	4	3	4	1	1	1	1	2	1	1	1	2	3	2	2	4	
L_9NQW8R	23	13	7	5	2	3	2	2	2	2	1	0	1	1	1	4	1	1	2	
L_9NRLSV	23	14	6	7	1	2	2	2	2	2	2	1	1	1	1	3	1	1	2	
L_9NRPD6	27	14	7	4	3	5	4	2	3	2	1	1	1	1	2	1	1	1	2	
L_9NV4BQ	25	13	6	5	3	4	1	2	1	2	2	0	1	1	2	3	1	2	3	
L_9NZZPS	23	14	7	5	2	3	2	2	2	2	2	1	1	1	1	1	1	1	3	
L_9P0XL6	25	10	6	6	2	2	2	0	0	8	3	2	0	0	2	2	1	1	2	
L_9P6XV5	23	13	9	3	2	5	1	1	0	1	2	1	1	1	4	2	1	1	2	
L_9P7M4R	26	14	4	8	2	3	2	2	2	2	2	1	1	1	2	1	2	2	3	
L_9P90B6	23	13	6	7	1	4	2	1	0	1	2	2	2	2	2	2	1	1	1	
L_9PCQYV	24	14	8	4	2	2	1	2	2	3	1	1	1	1	1	5	1	1	2	
L_9PD7SX	23	13	7	5	2	3	1	2	2	2	2	1	1	1	2	4	1	1	0	
L_9PDNSP	23	14	8	4	2	4	2	1	1	2	2	1	1	1	1	3	1	1	2	
L_9PF8ZJ	24	14	7	6	1	5	2	2	2	2	2	1	1	1	1	1	1	1	2	
L_9PJ018	23	14	6	7	1	3	2	2	2	2	2	1	1	1	1	2	1	1	2	
L_9PJZM1	23	14	6	7	1	2	1	2	1	2	1	3	2	2	1	2	1	1	2	
L_9PKMMG	23	14	8	4	2	3	2	1	1	1	1	2	4	1	1	2	1	1	2	
L_9PRP7N	24	14	6	7	1	4	2	2	2	2	2	1	2	1	1	1	1	1	2	
L_9PXBKQ	23	12	6	6	2	4	2	0	0	2	2	2	2	1	1	3	1	1	2	
L_9PXJ9D	26	14	5	7	2	1	2	1	2	3	2	2	1	2	2	4	1	1	2	
L_9PXPKG	23	14	8	4	2	4	2	1	1	2	2	1	1	1	1	3	1	1	2	
L_9PZ48K	23	14	6	7	1	3	2	2	2	2	2	1	1	1	1	2	1	1	2	
L_9PZKBZ	24	14	5	8	1	2	2	2	2	2	2	1	1	1	2	3	1	1	2	
L_9Q6TXX	23	14	6	7	1	2	2	1	1	2	1	3	2	2	2	1	1	1	2	
L_9Q6ZMV	23	14	7	6	1	4	2	2	2	2	1	1	1	1	1	2	1	1	2	
L_9Q734W	24	14	5	8	1	3	2	2	2	2	2	1	1	1	2	2	1	1	2	
L_9Q855Y	24	13	5	7	2	2	2	1	1	2	1	2	3	2	2	3	1	0	2	
L_9QB3MW	24	10	5	5	4	3	2	2	2	3	2	1	0	2	4	3	0	0	0	
L_9QGSB0	23	11	5	7	2	4	1	2	2	2	2	3	1	2	2	2	0	0	0	
L_9QJNG8	23	12	5	8	1	4	2	2	2	2	1	2	2	2	1	2	0	0	1	
L_9QNZP9	26	12	6	4	4	3	2	2	2	2	1	1	0	1	1	0	3	3	5	
L_9QRN6G	24	14	6	7	1	2	1	2	1	1	2	1	1	1	2	2	2	2	4	
L_9QRQBF	23	14	7	6	1	2	1	1	1	1	1	2	1	2	1	2	2	2	4	
L_9QSHQK	23	14	8	4	2	2	1	1	1	1	1	1	1	1	3	2	2	2	4	
L_9QTGNC	23	14	8	4	2	2	1	1	1	1	1	1	1	1	3	2	2	2	4	
L_9QV4Q7	23	14	7	6	1	2	1	1	1	1	1	2	1	1	2	2	2	2	4	
L_9QW4M7	23	14	7	6	1	2	1	1	1	1	1	2	1	2	1	2	2	2	4	
L_9QWQ29	23	13	7	5	2	2	0	1	1	2	1	2	1	1	3	1	2	2	4	
L_9R00CP	23	12	5	8	1	4	2	0	0	2	2	1	1	1	2	2	2	2	2	
L_9R1BGH	23	14	8	4	2	1	1	1	1	1	1	2	1	1	3	2	2	2	4	
L_9R1YJ4	26	13	5	7	2	4	2	0	1	2	2	1	1	1	2	2	2	2	4	
L_9R32Q6	23	14	6	7	1	3	2	2	2	2	1	1	1	1	2	2	1	1	2	
L_9R4V08	23	14	7	5	2	3	1	1	1	1	1	2	2	2	3	2	1	1	2	
L_9R50S3	23	14	8	4	2	2	1	1	1	2	1	1	1	1	1	2	2	3	4	
L_9R7CD5	24	14	7	5	2	4	2	2	2	2	3	1	1	1	1	1	1	1	2	
L_9R92R5	23	13	6	7	1	4	2	2	2	2	2	1	1	1	0	2	1	1	2	
L_9RC0T1	23	14	6	7	1	3	2	2	2	2	2	1	1	1	2	2	1	1	1	
L_9RCHXF	23	14	6	7	1	2	2	1	2	2	2	3	1	1	1	2	1	1	2	
L_9RD52D	25	13	6	6	2	4	2	2	1	2	2	1	1	1	1	0	2	2	4	
L_9RFJJS	23	14	9	3	2	4	2	1	1	2	1	1	1	1	1	4	1	1	2	
L_9RHX3F	23	14	7	6	1	4	2	2	2	2	2	1	1	1	1	1	1	1	2	
L_9RS5YD	24	14	5	8	1	3	2	2	1	2	2	2	1	2	1	2	1	1	2	
L_9RY04G	23	14	8	4	2	4	2	2	3	1	1	2	1	1	1	1	1	1	2	
L_9RZ6VR	24	14	5	8	1	2	2	2	2	2	2	1	1	1	2	3	1	1	2	
L_9S02J5	23	13	5	8	1	3	2	2	2	2	1	2	2	2	1	2	1	1	0	
L_9S0BSQ	28	14	5	6	3	5	2	2	2	2	2	3	1	2	1	1	1	1	3	
L_9S1VKD	23	14	7	5	2	2	3	1	1	1	1	2	2	1	2	3	1	1	2	
L_9S2S7Z	23	14	6	7	1	3	2	2	2	2	2	1	1	1	2	1	1	1	2	
L_9S3R5C	23	12	7	4	3	4	2	0	0	2	2	1	1	1	3	3	1	1	2	
L_9S3ZGF	23	14	5	9	0	2	2	2	2	2	1	2	1	2	2	1	1	1	2	
L_9S4X9N	23	14	6	7	1	3	2	2	2	2	1	1	1	1	2	2	1	1	2	
L_9S6DX2	23	14	8	3	3	3	1	1	1	1	1	3	1	2	2	3	1	1	2	
L_9S6TF4	26	14	4	9	1	4	2	2	1	2	2	2	1	2	2	1	1	2	2	
L_9S72BQ	23	14	6	7	1	3	2	2	2	2	2	1	1	1	1	2	1	1	2	
L_9SB820	23	14	8	4	2	4	2	1	1	2	2	1	1	1	1	3	1	1	2	
L_9SDMGF	23	14	9	3	2	4	2	1	1	1	2	1	1	1	1	1	1	2	4	
L_9SF7C5	23	14	7	6	1	4	1	1	1	1	2	2	2	2	1	2	1	1	2	
L_9SGBKM	24	12	8	4	2	3	2	1	1	7	2	2	1	2	0	1	1	0	1	
L_9SJ63G	24	13	4	9	1	3	2	2	2	2	1	2	2	2	2	1	0	1	2	
L_9SJF4F	24	13	4	9	1	3	2	2	2	2	2	2	2	2	2	1	0	1	1	
L_9SJTPP	25	12	8	3	3	6	1	1	0	1	3	4	2	2	1	2	1	1	0	
L_9SLPTP	23	11	5	6	3	3	2	2	2	2	2	3	1	2	1	3	0	0	0	
L_9SNC26	28	11	6	2	6	6	3	1	0	3	2	3	1	3	1	3	0	0	2	
L_9SNXVY	23	13	8	3	3	3	1	1	1	1	2	1	1	1	0	3	2	2	4	
L_9SNZXG	23	14	7	6	1	1	2	2	2	2	1	2	1	1	1	1	4	1	2	
L_9SX59L	23	14	8	4	2	2	1	1	1	1	1	1	1	2	1	3	2	2	4	
L_9T0B66	23	14	8	4	2	2	1	1	1	1	2	1	1	1	1	2	4	2	3	
L_9T3MCR	23	14	8	4	2	2	1	1	2	1	1	1	2	1	1	3	2	1	4	
L_9T5958	23	14	9	3	2	2	1	1	1	1	1	1	1	1	1	3	2	2	5	
L_9TB4GH	23	14	8	4	2	2	1	1	1	1	1	1	1	1	2	3	2	2	4	
L_9TBX61	24	13	6	5	3	3	2	2	2	1	3	1	1	1	0	2	2	1	3	
L_9TFQ47	24	12	5	7	2	2	2	0	0	2	2	1	2	1	1	3	2	2	4	
L_9TGWD6	23	14	9	3	2	4	1	1	1	1	1	1	1	1	2	1	2	2	4	
L_9THLVT	23	14	7	6	1	2	1	1	1	1	1	2	1	1	2	2	2	2	4	
L_9TJLPT	23	13	7	5	2	4	1	1	1	1	1	2	0	2	2	1	2	2	3	
L_9TLF50	23	14	7	6	1	4	2	2	2	2	2	1	1	1	1	1	1	1	2	
L_9TLH2F	23	14	10	1	3	1	1	1	1	1	1	4	1	4	1	3	1	1	2	
L_9TN4LV	23	14	7	6	1	2	2	1	2	2	2	1	1	1	1	1	2	1	4	
L_9TP0G6	24	12	5	7	2	2	3	1	0	1	1	2	2	0	2	2	2	2	4	
L_9TP3FR	23	14	8	4	2	4	1	2	2	2	3	1	1	1	1	1	1	1	2	
L_9TPHPG	23	12	8	2	4	2	1	0	0	3	4	1	1	3	3	1	1	1	2	
L_9TPN87	24	14	8	4	2	4	1	1	1	1	2	1	1	1	1	2	2	2	4	
L_9TRNPS	23	14	7	5	2	3	2	2	2	2	1	1	1	1	1	3	1	1	2	
L_9TVRR4	23	14	9	2	3	3	1	1	1	1	1	1	1	1	2	3	1	2	4	
L_9TX3SL	23	14	9	3	2	2	1	1	1	1	1	1	1	1	1	4	2	2	4	
L_9TZQKK	24	14	7	4	3	3	1	1	1	1	2	3	3	2	2	1	1	1	2	
L_9V15ZT	23	14	9	3	2	2	1	1	1	1	1	1	1	1	1	4	2	2	4	
L_9V1ZYC	23	14	8	4	2	2	1	1	1	1	1	2	4	2	1	3	1	1	2	
L_9V4Q10	23	14	9	2	3	4	1	1	1	1	3	1	1	2	1	3	1	1	2	
L_9V4ZRB	23	14	7	6	1	4	2	2	2	2	2	1	1	1	1	1	1	1	2	
L_9V66Q8	24	13	7	4	3	4	2	3	2	3	2	0	1	1	1	1	1	1	2	
L_9V66V2	23	14	7	6	1	4	2	2	2	2	1	1	1	1	1	2	1	1	2	
L_9V6SHG	23	14	10	2	2	2	1	1	1	1	1	1	1	1	1	5	1	2	4	
L_9V7071	23	14	7	5	2	2	1	1	1	1	1	2	2	2	3	3	1	1	2	
L_9V7JQB	23	14	9	1	4	3	1	1	1	1	2	1	1	1	3	3	1	1	3	
L_9V7Y2Q	23	14	7	6	1	4	1	2	2	2	2	1	1	1	2	1	1	1	2	
L_9VCKWS	23	14	7	5	2	2	3	1	1	2	1	1	2	3	1	2	1	1	2	
L_9VD6GF	23	14	7	6	1	4	2	1	2	2	2	1	1	1	1	2	1	1	2	
L_9VFR4K	24	12	6	6	2	4	2	0	1	2	2	2	2	0	1	4	1	1	2	
L_9VG1LW	23	14	7	5	2	1	2	2	2	2	3	1	1	1	1	3	1	1	2	
L_9VGWZR	23	14	7	5	2	3	2	1	1	2	2	1	1	1	1	1	2	2	3	
L_9VHXG9	23	14	6	7	1	3	2	2	2	2	2	1	1	1	1	2	1	1	2	
L_9VLBRX	23	14	5	9	0	2	1	2	2	2	1	2	2	2	2	1	1	1	2	
L_9VLWTY	23	14	7	6	1	4	2	2	2	2	2	1	1	1	1	1	1	1	2	
L_9VV21V	23	14	7	5	2	3	2	2	2	3	2	1	1	1	1	1	1	1	2	
L_9VWNG9	24	13	6	6	2	4	2	2	1	2	3	2	0	1	1	2	1	1	2	
L_9VWY4G	23	14	7	5	2	3	2	1	1	2	2	2	1	1	3	1	1	1	2	
L_9W0X4S	23	14	6	7	1	2	2	1	1	2	1	2	2	2	1	3	1	1	2	
L_9W2XGY	23	13	6	7	1	4	2	2	2	2	2	1	1	1	0	2	1	1	2	
L_9W4TN7	23	14	7	6	1	4	1	1	2	2	2	2	1	1	1	2	1	1	2	
L_9W60LD	23	14	6	7	1	3	2	2	2	2	2	1	1	1	1	2	1	1	2	
L_9W70K1	23	14	7	5	2	2	2	3	2	2	1	1	1	1	1	3	1	1	2	
L_9W7TNC	24	14	6	7	1	4	2	2	2	2	2	1	1	1	1	2	1	1	2	
L_9W9H7X	23	13	7	5	2	2	1	1	1	1	1	2	2	2	4	3	1	0	2	
L_9WDMHQ	23	14	8	4	2	1	2	1	1	2	2	1	1	1	2	3	1	1	4	
L_9WDQD0	24	14	6	7	1	4	2	2	2	2	2	1	1	1	1	2	1	1	2	
L_9WF5KX	23	12	7	4	3	4	2	1	1	2	1	2	0	2	3	3	1	0	1	
L_9WF8ZC	23	13	6	7	1	4	2	2	2	2	2	1	1	1	1	2	0	1	2	
L_9WH553	23	13	10	1	3	1	3	1	1	1	1	6	1	1	3	1	0	1	2	
L_9WJ0NZ	23	13	8	3	3	4	1	1	1	1	1	2	2	2	1	3	0	1	3	
L_9WMK9T	23	11	5	7	2	4	2	2	2	2	2	1	0	1	2	2	0	0	3	
L_9WQ36P	23	14	8	5	1	2	1	1	1	1	1	1	1	1	2	2	2	2	5	
L_9WQXZ1	23	13	7	5	2	2	1	1	1	1	4	2	1	2	0	1	2	2	3	
L_9WRK7P	23	14	8	4	2	2	1	1	1	1	1	1	3	1	1	2	2	2	4	
L_9WXG53	23	14	7	5	2	2	1	1	1	1	2	1	1	1	2	3	2	2	3	
L_9WXLVF	24	14	6	6	2	2	2	1	1	1	2	2	1	3	1	1	2	2	3	
L_9X1VP8	25	14	6	6	2	3	1	1	1	1	2	2	1	2	1	2	2	2	4	
L_9X3V8F	23	12	9	3	2	5	2	1	0	1	1	1	1	1	1	0	2	2	5	
L_9X3WNR	23	14	8	4	2	3	1	1	1	1	2	1	1	1	1	2	2	2	4	
L_9X5F9F	25	13	4	9	1	4	1	2	0	2	2	2	2	2	1	2	2	1	2	
L_9X5RMP	24	13	7	5	2	2	1	1	1	1	2	1	2	1	0	2	2	4	4	
L_9X6DWK	23	14	8	4	2	2	1	1	1	1	1	1	1	1	3	2	2	2	4	
L_9X7F3J	23	13	7	5	2	2	1	1	0	1	1	2	1	3	2	1	2	2	4	
L_9XCHBN	23	14	7	6	1	4	2	2	1	2	2	1	1	1	1	2	1	1	2	
L_9XCRKQ	23	14	8	4	2	2	1	1	1	1	1	1	1	1	2	3	2	2	4	
L_9XGGGR	24	12	7	3	4	3	2	0	0	2	1	3	2	4	1	1	1	1	3	
L_9XJ01Y	25	14	5	8	1	2	2	2	2	2	2	1	1	1	1	1	2	2	4	
L_9XLHJY	23	14	6	7	1	2	2	1	1	1	1	2	2	2	1	1	2	2	3	
L_9XLRB3	23	14	7	5	2	3	2	1	1	2	2	2	1	3	1	1	1	1	2	
L_9XMGSQ	23	14	8	4	2	2	1	1	1	1	1	2	2	2	1	4	1	1	3	
L_9XTF8M	23	14	7	6	1	2	1	1	1	1	2	1	1	1	2	2	2	2	4	
L_9XTK3J	24	13	5	8	1	4	2	2	1	2	2	2	2	2	1	2	1	1	0	
L_9XWLS0	23	14	8	4	2	2	1	1	1	1	1	3	1	2	1	1	2	2	4	
L_9XXDXR	23	14	9	1	4	2	1	1	1	1	1	3	1	1	3	3	1	1	3	
L_9XYFMQ	23	12	9	1	4	5	3	1	0	3	3	1	1	0	1	1	1	1	2	
L_9Y08W1	23	14	9	3	2	2	1	1	1	1	1	1	1	1	1	4	2	2	4	
L_9Y0JYS	23	14	7	6	1	4	2	1	2	2	2	1	1	2	1	1	1	1	2	
L_9Y4564	23	12	8	4	2	4	2	0	0	2	2	1	1	1	2	5	1	1	1	
L_9Y6XVW	23	14	5	9	0	2	2	2	1	2	2	2	2	2	1	1	1	1	2	
L_9Y7PDK	25	13	5	7	2	3	2	2	2	2	2	1	1	1	1	0	2	2	4	
L_9YCQNL	23	14	6	7	1	3	2	2	2	2	2	1	1	1	1	2	1	1	2	
L_9YFMH4	23	14	6	7	1	3	1	1	1	1	2	2	2	2	2	2	1	1	2	
L_9YLP1S	23	14	7	6	1	4	2	2	2	2	2	1	1	1	1	1	1	1	2	
L_9YPSXV	23	14	7	6	1	4	2	2	2	2	2	1	1	1	1	1	1	1	2	
L_9YPV7F	23	13	6	6	2	2	2	1	2	2	1	3	1	1	2	3	1	0	2	
L_9YT3QG	23	13	5	8	1	3	1	2	2	2	2	2	1	2	1	2	1	0	2	
L_9YVDPY	23	13	6	7	1	4	2	2	2	2	2	1	1	1	2	1	0	1	2	
L_9YYSMQ	28	12	6	4	4	3	2	2	2	2	1	5	1	0	5	0	1	1	3	
L_9YZT8K	23	13	9	1	4	3	3	1	0	3	2	1	1	1	1	1	1	1	4	
L_9Z2Q3G	23	14	6	7	1	2	2	2	2	2	1	1	1	1	1	1	2	2	3	
L_9Z2YVV	23	14	8	4	2	2	1	1	1	1	1	1	2	1	1	3	2	2	4	
L_9Z90DJ	23	14	7	6	1	2	1	1	1	1	1	2	1	1	2	2	2	2	4	
L_9Z9744	23	13	7	5	2	2	1	1	1	1	3	1	0	1	2	2	2	2	4	
L_9ZB8B3	23	14	9	3	2	2	1	1	1	1	1	1	1	1	1	4	2	2	4	
L_9ZC0G3	23	12	7	4	3	3	2	0	0	2	1	1	1	1	1	3	2	2	4	
L_9ZC8JQ	23	12	8	3	3	4	2	1	0	3	2	1	0	1	1	1	2	1	4	
L_9ZCNBH	23	13	8	4	2	2	1	1	1	1	2	1	1	0	1	4	2	2	4	
L_9ZCZS9	23	14	9	3	2	2	1	1	1	1	1	1	1	1	1	2	2	3	5	
L_9ZDC4P	23	13	7	5	2	4	2	2	2	2	2	1	0	1	3	1	1	1	1	
L_9ZF45B	23	12	6	6	2	4	2	0	0	2	2	2	2	1	3	1	1	1	2	
L_9ZFFQZ	24	13	8	3	3	3	1	0	1	1	2	4	1	1	2	1	1	2	4	
L_9ZJKXT	23	14	8	4	2	3	1	1	1	1	1	2	2	2	1	4	1	1	2	
L_9ZJXJB	24	14	7	5	2	3	1	1	1	1	1	2	2	2	1	1	2	2	4	
L_9ZKDL1	24	14	6	6	2	3	2	2	2	2	2	1	1	1	1	3	1	1	2	
L_9ZL6F8	24	14	7	5	2	2	1	1	1	1	1	2	2	1	3	1	2	2	4	
L_9ZLMMH	23	13	6	7	1	4	2	1	2	2	2	0	1	1	2	2	1	1	2	
L_9ZLWD4	23	14	6	7	1	2	2	3	2	2	2	1	1	1	1	2	1	1	2	
L_9ZMXNG	23	14	9	2	3	2	1	1	1	1	1	4	1	1	1	3	2	1	3	
L_9ZNC9Q	23	14	8	3	3	3	1	2	1	1	2	1	1	3	3	1	1	1	2	
L_9ZPN7F	23	14	8	3	3	3	1	1	1	1	2	3	1	3	1	2	1	1	2	
L_9ZS6H0	24	14	8	4	2	4	1	2	1	2	4	1	1	1	1	2	1	1	2	
L_9ZSGB1	24	14	7	5	2	4	1	1	1	1	2	2	2	2	1	1	2	1	3	
L_9ZXJFF	23	14	6	7	1	3	2	2	2	2	1	1	1	1	2	2	1	1	2	
L_B027KP	23	14	8	4	2	2	1	1	1	1	1	3	1	1	1	2	2	2	4	
L_B038DQ	23	14	7	5	2	3	2	1	2	2	2	1	1	1	1	3	1	1	2	
